seat_config,class_size,λ,m,ttl
inner_corner,32,0.1,2.207 ± 0.075,0.0387 ± 0.0016
inner_corner,32,0.2,2.358 ± 0.044,0.0209 ± 0.0005
inner_corner,32,0.3,2.376 ± 0.081,0.0168 ± 0.00095
inner_corner,32,0.4,2.516 ± 0.048,0.01387 ± 0.00037
inner_corner,32,0.5,2.475 ± 0.023,0.01211 ± 0.00024
inner_corner,32,0.6,2.453 ± 0.043,0.01152 ± 0.0002
inner_corner,32,0.7,2.367 ± 0.021,0.0107421875 ± 0.0
inner_corner,32,0.8,2.369 ± 0.011,0.01035 ± 0.00024
inner_corner,32,0.9,2.361 ± 0.014,0.009765625 ± 0.0
inner_corner,32,1.0,2.3238889488024483 ± 0.0,0.0087890625 ± 0.0
inner_corner,48,0.1,2.237 ± 0.041,0.0229 ± 0.001
inner_corner,48,0.2,2.37 ± 0.04,0.01319 ± 0.00017
inner_corner,48,0.3,2.4 ± 0.034,0.01016 ± 0.00017
inner_corner,48,0.4,2.371 ± 0.02,0.00859 ± 0.00016
inner_corner,48,0.5,2.363 ± 0.02,0.0078125 ± 0.0
inner_corner,48,0.6,2.35 ± 0.036,0.007031 ± 8.7e-5
inner_corner,48,0.7,2.2737 ± 0.006,0.006597 ± 8.7e-5
inner_corner,48,0.8,2.273 ± 0.012,0.006424 ± 8.7e-5
inner_corner,48,0.9,2.2317 ± 0.0086,0.00625 ± 0.00011
inner_corner,48,1.0,2.2273039162163903 ± 0.0,0.005642361111111111 ± 0.0
inner_corner,64,0.1,2.351 ± 0.053,0.01567 ± 0.0004
inner_corner,64,0.2,2.333 ± 0.018,0.00913 ± 0.00012
inner_corner,64,0.3,2.281 ± 0.023,0.00767 ± 0.00012
inner_corner,64,0.4,2.322 ± 0.018,0.006201 ± 6.0e-5
inner_corner,64,0.5,2.3041 ± 0.01,0.005615234375 ± 0.0
inner_corner,64,0.6,2.262 ± 0.014,0.005225 ± 6.0e-5
inner_corner,64,0.7,2.228 ± 0.013,0.004932 ± 4.9e-5
inner_corner,64,0.8,2.1986 ± 0.0073,0.004688 ± 4.9e-5
inner_corner,64,0.9,2.1957 ± 0.0019,0.00439453125 ± 0.0
inner_corner,64,1.0,2.175564529401361 ± 0.0,0.004150390625 ± 0.0
inner_corner,96,0.1,2.257 ± 0.04,0.0097 ± 0.00014
inner_corner,96,0.2,2.258 ± 0.023,0.005816 ± 8.8e-5
inner_corner,96,0.3,2.249 ± 0.031,0.004579 ± 5.3e-5
inner_corner,96,0.4,2.236 ± 0.019,0.003993 ± 4.1e-5
inner_corner,96,0.5,2.224 ± 0.012,0.003581 ± 3.4e-5
inner_corner,96,0.6,2.188 ± 0.014,0.003342 ± 2.2e-5
inner_corner,96,0.7,2.1567 ± 0.0052,0.00319 ± 2.7e-5
inner_corner,96,0.8,2.1386 ± 0.0073,0.002995 ± 2.7e-5
inner_corner,96,0.9,2.1309 ± 0.004,0.002886 ± 2.7e-5
inner_corner,96,1.0,2.120876429824466 ± 0.0,0.002712673611111111 ± 0.0
inner_corner,128,0.1,2.272 ± 0.032,0.00702 ± 0.00014
inner_corner,128,0.2,2.215 ± 0.018,0.004309 ± 5.0e-5
inner_corner,128,0.3,2.253 ± 0.029,0.003333 ± 1.5e-5
inner_corner,128,0.4,2.2067 ± 0.0091,0.002905 ± 1.5e-5
inner_corner,128,0.5,2.171 ± 0.0094,0.0026 ± 1.5e-5
inner_corner,128,0.6,2.1471 ± 0.0052,0.002478 ± 1.5e-5
inner_corner,128,0.7,2.1213 ± 0.0034,0.0023193359375 ± 0.0
inner_corner,128,0.8,2.1113 ± 0.0044,0.002209 ± 1.2e-5
inner_corner,128,0.9,2.0946 ± 0.0013,0.00213623046875 ± 0.0
inner_corner,128,1.0,2.0922370830458887 ± 0.0,0.00201416015625 ± 0.0
outer_corner,32,0.1,2.132 ± 0.053,0.0533 ± 0.0019
outer_corner,32,0.2,2.189 ± 0.063,0.0338 ± 0.0011
outer_corner,32,0.3,2.21 ± 0.053,0.02637 ± 0.00044
outer_corner,32,0.4,2.151 ± 0.025,0.02266 ± 0.00037
outer_corner,32,0.5,2.145 ± 0.054,0.0207 ± 0.0002
outer_corner,32,0.6,2.182 ± 0.017,0.01953 ± 0.00031
outer_corner,32,0.7,2.101 ± 0.02,0.0185546875 ± 0.0
outer_corner,32,0.8,2.0366 ± 0.0082,0.017578125 ± 0.0
outer_corner,32,0.9,2.034 ± 0.012,0.0166015625 ± 0.0
outer_corner,32,1.0,1.9999999999999996 ± 0.0,0.015625 ± 0.0
outer_corner,48,0.1,2.35 ± 0.1,0.03446 ± 0.00051
outer_corner,48,0.2,2.209 ± 0.062,0.02109 ± 0.00054
outer_corner,48,0.3,2.149 ± 0.036,0.01667 ± 0.00022
outer_corner,48,0.4,2.15 ± 0.029,0.01467 ± 0.00016
outer_corner,48,0.5,2.157 ± 0.043,0.01354 ± 0.00016
outer_corner,48,0.6,2.139 ± 0.028,0.012674 ± 8.7e-5
outer_corner,48,0.7,2.051 ± 0.015,0.01198 ± 0.00011
outer_corner,48,0.8,2.041 ± 0.01,0.01155 ± 0.00011
outer_corner,48,0.9,2.0098 ± 0.006,0.01111 ± 0.00011
outer_corner,48,1.0,2.000000000000004 ± 0.0,0.010416666666666666 ± 0.0
outer_corner,64,0.1,2.318 ± 0.085,0.02578 ± 0.00059
outer_corner,64,0.2,2.19 ± 0.04,0.01567 ± 0.00031
outer_corner,64,0.3,2.168 ± 0.028,0.012549 ± 6.0e-5
outer_corner,64,0.4,2.183 ± 0.028,0.01094 ± 0.00012
outer_corner,64,0.5,2.097 ± 0.019,0.009717 ± 4.9e-5
outer_corner,64,0.6,2.059 ± 0.018,0.009277 ± 7.7e-5
outer_corner,64,0.7,2.046 ± 0.015,0.008887 ± 6.0e-5
outer_corner,64,0.8,2.0278 ± 0.0085,0.008398 ± 6.0e-5
outer_corner,64,0.9,2.0075 ± 0.004,0.008252 ± 4.9e-5
outer_corner,64,1.0,1.9999999999999947 ± 0.0,0.0078125 ± 0.0
outer_corner,96,0.1,2.315 ± 0.032,0.01636 ± 0.00015
outer_corner,96,0.2,2.137 ± 0.032,0.010069 ± 9.3e-5
outer_corner,96,0.3,2.135 ± 0.014,0.008138 ± 5.9e-5
outer_corner,96,0.4,2.1235 ± 0.0059,0.007053 ± 3.4e-5
outer_corner,96,0.5,2.103 ± 0.017,0.006641 ± 4.1e-5
outer_corner,96,0.6,2.079 ± 0.02,0.006185 ± 4.9e-5
outer_corner,96,0.7,2.03203 ± 0.00068,0.005838 ± 2.2e-5
outer_corner,96,0.8,2.0141 ± 0.0039,0.005642361111111111 ± 0.0
outer_corner,96,0.9,2.0092 ± 0.0032,0.005447 ± 2.2e-5
outer_corner,96,1.0,1.9999999999999791 ± 1.1e-16,0.005208333333333333 ± 0.0
outer_corner,128,0.1,2.207 ± 0.014,0.01201 ± 0.00012
outer_corner,128,0.2,2.151 ± 0.014,0.007666 ± 5.0e-5
outer_corner,128,0.3,2.147 ± 0.0068,0.006116 ± 4.5e-5
outer_corner,128,0.4,2.1016 ± 0.0083,0.005359 ± 5.3e-5
outer_corner,128,0.5,2.077 ± 0.01,0.004907 ± 1.5e-5
outer_corner,128,0.6,2.0511 ± 0.0054,0.004602 ± 1.5e-5
outer_corner,128,0.7,2.0321 ± 0.0068,0.00437 ± 1.5e-5
outer_corner,128,0.8,2.0128 ± 0.0039,0.004224 ± 1.2e-5
outer_corner,128,0.9,2.0045 ± 0.0022,0.004089 ± 1.9e-5
outer_corner,128,1.0,1.999999999999949 ± 0.0,0.00390625 ± 0.0
center,32,0.1,2.104 ± 0.064,0.0639 ± 0.0025
center,32,0.2,2.059 ± 0.056,0.0367 ± 0.0011
center,32,0.3,2.132 ± 0.032,0.02656 ± 0.00048
center,32,0.4,2.13 ± 0.029,0.02441 ± 0.00044
center,32,0.5,2.101 ± 0.03,0.02168 ± 0.00048
center,32,0.6,2.072 ± 0.014,0.01973 ± 0.00037
center,32,0.7,2.006 ± 0.011,0.01836 ± 0.00037
center,32,0.8,2.0164 ± 0.0062,0.01816 ± 0.00024
center,32,0.9,2.016 ± 0.012,0.0168 ± 0.0002
center,32,1.0,1.9999999999999996 ± 0.0,0.015625 ± 0.0
center,48,0.1,2.192 ± 0.033,0.03733 ± 0.0006
center,48,0.2,2.069 ± 0.027,0.0237 ± 0.00096
center,48,0.3,2.184 ± 0.027,0.01814 ± 0.00057
center,48,0.4,2.101 ± 0.016,0.01519097222222222 ± 8.7e-19
center,48,0.5,2.105 ± 0.03,0.01424 ± 0.00029
center,48,0.6,2.074 ± 0.022,0.01311 ± 0.00016
center,48,0.7,2.0309 ± 0.0067,0.01241 ± 0.00017
center,48,0.8,2.0282 ± 0.0044,0.01189 ± 0.00011
center,48,0.9,2.0089 ± 0.008,0.011372 ± 8.7e-5
center,48,1.0,2.000000000000004 ± 0.0,0.010416666666666666 ± 0.0
center,64,0.1,2.188 ± 0.044,0.02632 ± 0.00035
center,64,0.2,2.132 ± 0.022,0.0167 ± 0.00017
center,64,0.3,2.074 ± 0.019,0.01309 ± 0.00015
center,64,0.4,2.078 ± 0.013,0.011279 ± 9.1e-5
center,64,0.5,2.051 ± 0.009,0.01025 ± 0.00011
center,64,0.6,2.039 ± 0.012,0.00957 ± 9.1e-5
center,64,0.7,2.037 ± 0.011,0.009131 ± 6.0e-5
center,64,0.8,2.0156 ± 0.0068,0.008691 ± 9.8e-5
center,64,0.9,2.0077 ± 0.0024,0.00835 ± 4.9e-5
center,64,1.0,1.9999999999999947 ± 0.0,0.0078125 ± 0.0
center,96,0.1,2.107 ± 0.043,0.01686 ± 0.00034
center,96,0.2,2.148 ± 0.023,0.01085 ± 0.00025
center,96,0.3,2.106 ± 0.024,0.00859 ± 0.00017
center,96,0.4,2.104 ± 0.012,0.0074 ± 4.1e-5
center,96,0.5,2.052 ± 0.0056,0.006684 ± 4.3e-5
center,96,0.6,2.0382 ± 0.0039,0.00625 ± 2.7e-5
center,96,0.7,2.0272 ± 0.0051,0.006033 ± 2.7e-5
center,96,0.8,2.012 ± 0.0025,0.005729 ± 2.2e-5
center,96,0.9,2.004 ± 0.0023,0.005447 ± 2.2e-5
center,96,1.0,1.9999999999999791 ± 1.1e-16,0.005208333333333333 ± 0.0
center,128,0.1,2.0706 ± 0.0098,0.012561 ± 9.7e-5
center,128,0.2,2.096 ± 0.014,0.007861 ± 3.6e-5
center,128,0.3,2.07 ± 0.01,0.006201 ± 5.0e-5
center,128,0.4,2.0703 ± 0.0074,0.005457 ± 4.1e-5
center,128,0.5,2.053 ± 0.01,0.004968 ± 5.0e-5
center,128,0.6,2.0423 ± 0.0091,0.004724 ± 3.1e-5
center,128,0.7,2.016 ± 0.0027,0.004407 ± 1.2e-5
center,128,0.8,2.0094 ± 0.0032,0.004248 ± 2.4e-5
center,128,0.9,2.0029 ± 0.002,0.004102 ± 1.2e-5
center,128,1.0,1.999999999999949 ± 0.0,0.00390625 ± 0.0
random,32,0.1,1.48 ± 0.11,0.06 ± 0.0025
random,32,0.2,1.486 ± 0.054,0.0389 ± 0.0019
random,32,0.3,1.52 ± 0.14,0.0311 ± 0.0025
random,32,0.4,1.57 ± 0.12,0.0244 ± 0.0015
random,32,0.5,1.63 ± 0.1,0.02168 ± 0.00095
random,32,0.6,1.534 ± 0.081,0.0223 ± 0.0012
random,32,0.7,1.338 ± 0.073,0.0229 ± 0.0017
random,32,0.8,1.65 ± 0.1,0.0184 ± 0.0013
random,32,0.9,1.397 ± 0.099,0.0205 ± 0.0015
random,32,1.0,1.54 ± 0.11,0.0195 ± 0.0015
random,48,0.1,1.441 ± 0.066,0.043 ± 0.0037
random,48,0.2,1.713 ± 0.012,0.0215 ± 0.0011
random,48,0.3,1.56 ± 0.12,0.0193 ± 0.0011
random,48,0.4,1.67 ± 0.12,0.0151 ± 0.0012
random,48,0.5,1.522 ± 0.086,0.01502 ± 0.00096
random,48,0.6,1.605 ± 0.051,0.01302 ± 0.00055
random,48,0.7,1.53 ± 0.13,0.0148 ± 0.0016
random,48,0.8,1.367 ± 0.088,0.0155 ± 0.001
random,48,0.9,1.47 ± 0.087,0.0135 ± 0.0011
random,48,1.0,1.722 ± 0.08,0.0113 ± 0.0011
random,64,0.1,1.606 ± 0.074,0.0267 ± 0.001
random,64,0.2,1.61 ± 0.14,0.0162 ± 0.0015
random,64,0.3,1.62 ± 0.1,0.01353 ± 0.00097
random,64,0.4,1.673 ± 0.099,0.01084 ± 0.00068
random,64,0.5,1.59 ± 0.15,0.0102 ± 0.001
random,64,0.6,1.569 ± 0.087,0.00986 ± 0.00065
random,64,0.7,1.57 ± 0.12,0.00967 ± 0.00085
